dataset,model,method,trial,val_id_mae,report_mae_E2,hparams,error
gfp,mlp,cmd,0,0.29093774044513704,0.6661845925450325,"{""training"": {""lambda_cmd"": 0.34315935171322715, ""cmd_n_moments"": 3}}",
gfp,mlp,cmd,1,0.28618871510028837,0.6461690224409103,"{""training"": {""lambda_cmd"": 0.03880376788218319, ""cmd_n_moments"": 3}}",
gfp,mlp,cmd,2,0.28353596323728564,0.6569864293932914,"{""training"": {""lambda_cmd"": 0.1277185218231863, ""cmd_n_moments"": 5}}",
gfp,mlp,adabn,0,0.3293840724825859,0.700805105626583,{},
gfp,mlp,pseudo_labeling,0,0.26394652694463727,0.533445640206337,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.341945881901572, ""lambda_pseudo_max"": 0.24834866597306524, ""rampup_epochs"": 10, ""mc_passes"": 10, ""retrain_from_scratch"": true}}}",
gfp,mlp,pseudo_labeling,1,0.2674361236691475,0.5506022663712502,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.8229791634104555, ""lambda_pseudo_max"": 0.4559962422214057, ""rampup_epochs"": 20, ""mc_passes"": 20, ""retrain_from_scratch"": true}}}",
gfp,mlp,pseudo_labeling,2,0.26186270081996915,0.5588770379424095,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.4190376633222689, ""lambda_pseudo_max"": 0.3169591967462125, ""rampup_epochs"": 10, ""mc_passes"": 10, ""retrain_from_scratch"": true}}}",
gfp,mlp,mean_teacher,0,0.4437655725479126,0.9748510238528252,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.29501650032445337, ""ema_decay"": 0.99, ""rampup_epochs"": 20, ""consistency_on_source"": false}}}",
gfp,mlp,mean_teacher,1,0.6347635841369629,1.3765651524662972,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.1298898269149722, ""ema_decay"": 0.999, ""rampup_epochs"": 20, ""consistency_on_source"": true}}}",
gfp,mlp,mean_teacher,2,0.3978536029458046,0.7983957577943802,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.4846518058270434, ""ema_decay"": 0.99, ""rampup_epochs"": 5, ""consistency_on_source"": false}}}",
gfp,mlp,fixmatch,0,0.711113371014595,1.4276073884367944,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.2001921661354055, ""strong_noise_sigma"": 0.1417603991243475, ""keep_ratio"": 0.37844800940198475, ""mc_passes"": 5, ""rampup_epochs"": 10}}}",
gfp,mlp,fixmatch,1,0.7351310269832612,1.4192348111867905,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.1951133005099681, ""strong_noise_sigma"": 0.11416021745031715, ""keep_ratio"": 0.3520691043231352, ""mc_passes"": 5, ""rampup_epochs"": 20}}}",
gfp,mlp,fixmatch,2,0.5156194988489151,1.1583329550027848,"{""training"": {""fixmatch"": {""lambda_fixmatch_max"": 0.1549438749287231, ""strong_noise_sigma"": 0.05855064799576527, ""keep_ratio"": 0.47734829588558136, ""mc_passes"": 10, ""rampup_epochs"": 10}}}",
gfp,cnn,cmd,0,0.3582575958967209,0.7471197791695595,"{""training"": {""lambda_cmd"": 0.5108624893189547, ""cmd_n_moments"": 3}}",
gfp,cnn,cmd,1,0.3921479417681694,0.8519532490372658,"{""training"": {""lambda_cmd"": 0.02304425741017073, ""cmd_n_moments"": 3}}",
gfp,cnn,cmd,2,0.3721291023492813,0.7901269192099571,"{""training"": {""lambda_cmd"": 0.04832975245372667, ""cmd_n_moments"": 3}}",
gfp,cnn,adabn,0,0.44817223924398425,0.9479249554872513,{},
gfp,cnn,pseudo_labeling,0,0.46176417320966723,0.976891676723957,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.37598306946899046, ""lambda_pseudo_max"": 0.40361691558843077, ""rampup_epochs"": 5, ""mc_passes"": 20, ""retrain_from_scratch"": false}}}",
gfp,cnn,pseudo_labeling,1,0.3905141648054123,0.8161239293813706,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.38641847979305755, ""lambda_pseudo_max"": 0.12616806322137522, ""rampup_epochs"": 20, ""mc_passes"": 20, ""retrain_from_scratch"": false}}}",
gfp,cnn,pseudo_labeling,2,0.5577259969711303,1.025073344051838,"{""training"": {""pseudo_labeling"": {""keep_ratio"": 0.7433130542828721, ""lambda_pseudo_max"": 0.7631147323809474, ""rampup_epochs"": 5, ""mc_passes"": 10, ""retrain_from_scratch"": true}}}",
gfp,cnn,mean_teacher,0,0.4617074699401855,1.0631941518187522,"{""training"": {""mean_teacher"": {""lambda_consistency_max"": 0.15090612262780193, ""ema_decay"": 0.99, ""rampup_epochs"": 10, ""consistency_on_source"": false}}}",
